int(self),nb_people,time / #day,time / #minute
0,800,0.14305555555555555,206.0
1,800,0.14305555555555555,206.0
2,820,1.7520833333333334,2523.0
3,820,1.7520833333333334,2523.0
4,840,1.113888888888889,1604.0
5,840,1.113888888888889,1604.0
6,860,0.7472222222222222,1076.0
7,860,0.7472222222222222,1076.0
8,880,0.08055555555555556,116.0
9,880,0.08055555555555556,116.0
10,900,2.2006944444444443,3169.0
11,900,2.2006944444444443,3169.0
12,920,0.24375,351.0
13,920,0.24375,351.0
14,940,0.12361111111111112,178.0
15,940,0.12361111111111112,178.0
16,960,5.127083333333333,7383.0
17,960,5.127083333333333,7383.0
18,980,2.734027777777778,3937.0
19,980,2.734027777777778,3937.0
20,1000,0.18958333333333333,273.0
21,1000,0.18958333333333333,273.0
